layer,accuracy,auroc
0,0.630057803468208,0.5342330480579329
1,0.6358381502890174,0.5961158657011192
2,0.653179190751445,0.59825543120474
3,0.6473988439306358,0.6056616194865042
4,0.6473988439306358,0.6031928900592495
5,0.6358381502890174,0.6120803159973667
6,0.6416184971098265,0.5951283739302172
7,0.6416184971098265,0.5961158657011192
8,0.6416184971098265,0.6059907834101382
9,0.6589595375722543,0.6242593811718236
10,0.6705202312138728,0.6448321263989467
11,0.6647398843930635,0.6491112574061882
12,0.6936416184971098,0.6812047399605002
13,0.7109826589595376,0.6795589203423305
14,0.6936416184971098,0.6774193548387097
15,0.7109826589595376,0.6904213298222515
16,0.7630057803468208,0.7114878209348254
17,0.7861271676300579,0.7402896642527979
18,0.791907514450867,0.7648123765635286
19,0.7861271676300579,0.7764976958525346
20,0.8208092485549133,0.8034891375905201
21,0.8323699421965318,0.8067807768268598
22,0.8323699421965318,0.7960829493087558
23,0.8092485549132948,0.7998683344305464
24,0.7861271676300579,0.781764318630678
25,0.7572254335260116,0.7514812376563528
26,0.7687861271676301,0.7725477287689269
27,0.7976878612716763,0.7845622119815668
28,0.7803468208092486,0.7811059907834101
29,0.8092485549132948,0.7906517445687953
30,0.7341040462427746,0.7248189598420014
